case_id,Country_Code,open_date,close_date,activation_date,removal_date,product_type,record_type,stage,id,status,create_date,scheduled_date,fulfilled_date,type,vendor,region,cycle_time
985729483-9,JP,,,,,Locker,Location Locker/Counter,Compliance,905084941-5,Fulfilled,3/5/24,3/7/24,3/24/24,Permit,Redbox,JP,19
830895409-X,AT,,,,,Apt Locker,Dobby NA,,983866584-3,Complete,3/23/24,3/28/24,4/9/24,Advertising,NSA,AT,17
812941297-7,IT,,,,,Apt Locker,Dobby,Install,641952087-8,Scheduled,3/2/24,3/7/24,,Install,Redbox,IT,
177994528-0,FR,,,,,Apt Locker,Dobby NA,Compliance,293436052-0,Cancelled,1/30/24,2/2/24,,Permit,NSA,FR,
349328367-9,IT,,,,,Apt Locker,Dobby,Survey,199275832-8,Complete,5/2/24,5/4/24,5/8/24,Survey,Brendamour,IT,6
112377073-5,DE,,45351,45351,45351,Locker,Location Locker/Counter,Closed,523630715-5,Complete,2/19/24,2/23/24,2/29/24,Removal,Brendamour,DE,10
738351436-X,US,,,,,Locker,Location Locker/Counter,Compliance,618271999-0,Scheduled,5/29/24,6/2/24,,Permit,Redbox,US,
103877409-8,PT,,,,,Locker,Location Locker/Counter NA,Compliance,731685761-7,New,4/22/24,,,Permit,Brendamour,PT,
612086112-2,PT,,,,,Apt Locker,Dobby NA,Install,148113880-4,Scheduled,4/27/24,4/28/24,,Install,Brendamour,PT,
690312695-3,US,,,,,Apt Locker,Dobby NA,Compliance,895743362-7,Scheduled,4/25/24,4/29/24,,Permit,Brendamour,US,
397451884-3,ES,,,,,Locker,Location Locker/Counter,Survey,009213716-4,Fulfilled,6/1/24,6/6/24,6/21/24,Survey,Brendamour,ES,20
127063690-1,US,,45344,45344,45344,Apt Locker,Dobby NA,Closed,579098395-2,Complete,2/3/24,2/6/24,2/22/24,Removal,Redbox,US,19
249844833-0,DE,,,,,Apt Locker,Dobby NA,,838886668-0,Failure,4/27/24,4/30/24,,Removal,Brendamour,DE,
798029513-7,CA,,,,,Apt Locker,Dobby,Compliance,073139386-4,New,4/6/24,,,Permit,Brendamour,CA,
644991318-5,MX,,,,,Apt Locker,Dobby,,368158433-8,Failure,5/5/24,5/9/24,,Advertising,Brendamour,MX,
670704600-4,DE,,,,,Locker,Location Locker/Counter NA,Install,480710321-0,Scheduled,3/28/24,4/1/24,,Install,Redbox,DE,
055221823-5,DE,,45419,45419,,Locker,Location Locker/Counter NA,Closed,495474899-2,Complete,4/9/24,4/14/24,5/7/24,Install,NSA,DE,28
987272213-7,JP,,,,,Locker,Location Locker/Counter NA,Install,134063471-6,Failure,3/25/24,3/28/24,,Install,NSA,JP,
